day,inr,gbp
2019-01-02,79.9855,0.90165
2019-01-03,79.608,0.90312
2019-01-04,79.4315,0.89988
2019-01-07,79.6895,0.8972
2019-01-08,80.245,0.89743
2019-01-09,80.6365,0.89913
2019-01-10,81.2005,0.90423
2019-01-11,81.3475,0.90015
2019-01-14,81.2195,0.89263
2019-01-15,81.231,0.89025
2019-01-16,81.0055,0.8859
2019-01-17,80.9765,0.8826
2019-01-18,81.0875,0.88125
2019-01-21,80.9335,0.88303
2019-01-22,81.046,0.88
2019-01-23,81.0535,0.87213
2019-01-24,80.656,0.87085
2019-01-25,80.634,0.8658
2019-01-28,81.232,0.86888
2019-01-29,81.306,0.86735
2019-01-30,81.351,0.87341
2019-01-31,81.686,0.87578
